State,District,Mandal,OfficeType,Pincode,Latitude,Longitude
AndhraPradesh,WestGodavari,JajulakuntaBo,Bo,534112.0,16.9134,81.3152
AndhraPradesh,Eluru,Nidamarru,Bo,534195.0,16.723025,81.4159944
AndhraPradesh,WestGodavari,Parimalla,Bo,534166.0,16.7392457,81.4927058
AndhraPradesh,WestGodavari,Yanalapalli,Bo,534166.0,16.7598403,81.5016517
AndhraPradesh,Eluru,A.Gopavaram,Bo,534197.0,16.7046324,81.5285702
AndhraPradesh,Eluru,Ardhavaram,Bo,534197.0,16.6895053,89.41636
AndhraPradesh,WestGodavari,Nabipeta,Bo,534176.0,16.991376,81.421573
AndhraPradesh,WestGodavari,Krishnayampalemi,Bo,534146.0,16.817954,81.5908563
AndhraPradesh,WestGodavari,Kondruprolu,Bo,534102.0,16.8506742,81.5083501
AndhraPradesh,WestGodavari,Juvvalapalem,Bo,534102.0,16.8093095,81.5503828
AndhraPradesh,WestGodavari,Tadepalli,Bo,534102.0,16.842019,81.4944472
Telangana,Hanumakonda,Pegadapalli,Bo,506015.0,18.0321071,79.5377187
AndhraPradesh,WestGodavari,Vellamilli,Bo,534411.0,16.8422933,81.4548752
AndhraPradesh,WestGodavari,Neeladripuram,Bo,534411.0,16.907,81.5274
AndhraPradesh,WestGodavari,Mounjipadu,Bo,534165.0,16.7716719,81.4773129
AndhraPradesh,WestGodavari,Mypa,Bo,534186.0,16.6295973,81.541125
AndhraPradesh,Bapatla,Iteru,Bo,522310.0,,
AndhraPradesh,Bapatla,Bhoolayapalem,Bo,522311.0,,
AndhraPradesh,Guntur,Pathareddypalem,Bo,522212.0,,
AndhraPradesh,Guntur,Vellaluru,Bo,522212.0,,
AndhraPradesh,Guntur,Brahmanakoduru,Bo,522212.0,,
AndhraPradesh,Guntur,Gundavaram,Bo,522212.0,,
AndhraPradesh,Bapatla,Arumbaka,Bo,522309.0,,
AndhraPradesh,Bapatla,Balusulapalem,Bo,522309.0,,
AndhraPradesh,Guntur,Kondamudi,Bo,522341.0,,
AndhraPradesh,Bapatla,Chintayapalem,Bo,522111.0,,
AndhraPradesh,Bapatla,Mantripalem,Bo,522262.0,,
AndhraPradesh,Guntur,Mulukuduru,Bo,522315.0,,
AndhraPradesh,Bapatla,Bellamvaripalem,Bo,522268.0,,
AndhraPradesh,Bapatla,Pudivada,Bo,522268.0,,
AndhraPradesh,Bapatla,Yeletipalem,Bo,522268.0,,
AndhraPradesh,Guntur,Doppalapudi,Bo,522316.0,,
AndhraPradesh,Guntur,Munipalli,Bo,522316.0,,
AndhraPradesh,Guntur,Kollimarla,Bo,522316.0,16.117612,80.476452
Telangana,RajannaSircilla,Gudem,Bo,505404.0,18.327667,78.697589
AndhraPradesh,Guntur,Chintalapudi,Bo,522124.0,,
AndhraPradesh,Guntur,Tallapalem,Bo,522124.0,,
AndhraPradesh,Guntur,Hanumanpalem,Bo,522301.0,,
AndhraPradesh,Bapatla,Chadalavada,Bo,522301.0,,
AndhraPradesh,Bapatla,Ipuru,Bo,522301.0,,
AndhraPradesh,Bapatla,Edlapalli,Bo,522211.0,,
Telangana,Jagitial,Kondapurbo,Bo,505526.0,18.796416,79.171193
AndhraPradesh,Bapatla,Pothumeraka,Bo,522264.0,,
AndhraPradesh,Bapatla,Mrutyumjayapalem,Bo,522264.0,,
AndhraPradesh,Bapatla,Piratlanka,Bo,522264.0,,
AndhraPradesh,Guntur,Munnangi,Bo,522304.0,,
AndhraPradesh,Guntur,Pidaparru,Bo,522304.0,,
AndhraPradesh,Bapatla,Krapa,Bo,522324.0,,
AndhraPradesh,Bapatla,Chinagadelavarru,Bo,522313.0,,
AndhraPradesh,Bapatla,Mulpuru,Bo,522313.0,,
AndhraPradesh,Guntur,Katevaram,Bo,522202.0,,
AndhraPradesh,Bapatla,Chatragadda,Bo,522265.0,,
AndhraPradesh,Bapatla,Guddikayalanka,Bo,522265.0,,
Telangana,Jagitial,Gopalapur,Bo,505425.0,18.857403,79.082158
AndhraPradesh,Bapatla,Voleru,Bo,522265.0,,
AndhraPradesh,Bapatla,Nalluru,Bo,522265.0,,
AndhraPradesh,Bapatla,Vullipalem,Bo,522265.0,,
AndhraPradesh,Bapatla,Pesarlanka,Bo,522257.0,,
AndhraPradesh,Krishna,Manthena,Bo,521151.0,16.486667,80.798507
AndhraPradesh,Krishna,Proddutur,Bo,521151.0,16.407217,80.77333
AndhraPradesh,Krishna,Ganguru,Bo,521139.0,16.474958,80.740557
AndhraPradesh,Ntr,Krishnaraopalem,Bo,521226.0,,
AndhraPradesh,Eluru,Edara,Bo,521211.0,16.727135,80.752376
AndhraPradesh,Eluru,KothaEdara,Bo,521211.0,16.726848,80.760359
AndhraPradesh,Eluru,Seetharampuram,Bo,521211.0,16.75804,80.783404
AndhraPradesh,Ntr,Payakapuram,Bo,520015.0,16.551701,80.652051
AndhraPradesh,Ntr,Pokkunuru,Bo,521182.0,16.66,80.16
AndhraPradesh,Ntr,Punnavalli,Bo,521182.0,16.631709,80.234576
AndhraPradesh,Ntr,Bandipalem,Bo,521178.0,16.81939,80.186327
AndhraPradesh,Ntr,Mangollu,Bo,521178.0,16.946064,80.143053
AndhraPradesh,Ntr,HMutyalampadu,Bo,521229.0,16.895234,80.623564
AndhraPradesh,Ntr,Velagaleru,Bo,521229.0,16.651367,80.61426
AndhraPradesh,Krishna,Bahubalendrunigudem,Bo,521101.0,16.571314,80.791819
AndhraPradesh,Ntr,Anumanchipalli,Bo,521175.0,16.923586,80.856295
AndhraPradesh,Ntr,Malkapuram,Bo,521175.0,16.896532,80.952365
AndhraPradesh,Ntr,Takkellapadu,Bo,521175.0,16.689523,80.785694
AndhraPradesh,Ntr,Vellanki,Bo,521181.0,16.770444,80.370612
AndhraPradesh,Ntr,Ponnavaram,Bo,521180.0,16.71619,80.81115
AndhraPradesh,Ntr,Damuluru,Bo,521180.0,16.605303,80.411286
AndhraPradesh,Ntr,Ramachandrapuram,Bo,521226.0,16.873423,80.638414
AndhraPradesh,Ntr,Rudravaram,Bo,521227.0,16.874854,80.661757
AndhraPradesh,Ntr,Jayanthipuram,Bo,521457.0,16.829692,80.152549
AndhraPradesh,Krishna,Gopuvanipalem,Bo,521256.0,16.356133,80.895675
AndhraPradesh,Krishna,Gurazada,Bo,521256.0,16.359798,80.878208
AndhraPradesh,Krishna,Velpuru,Bo,521256.0,16.333278,80.891279
AndhraPradesh,Krishna,Iluru,Bo,521247.0,16.266127,80.829832
AndhraPradesh,Krishna,Patamatalankapalli,Bo,521247.0,16.221629,80.844595
AndhraPradesh,Krishna,Kuderu,Bo,521247.0,16.254715,80.845067
AndhraPradesh,Ntr,Eturu,Bo,521183.0,16.630898,80.296251
AndhraPradesh,Ntr,Thotaravulapadu,Bo,521183.0,16.677531,80.279329
